2025-03-25 13:32:12 | INFO | 启动主分析流程
2025-03-25 13:32:12 | INFO | 初始化系统: 热切的海狸 vs 热切的海狸
2025-03-25 13:32:12 | SUCCESS | 微分方程求解成功
2025-03-25 13:32:12 | INFO | 参数组合 1: 热切的海狸 vs 热切的海狸 的稳定性分析结果: {'eigenvalues': array([0.8, 0.2]), 'is_stable': False, 'has_oscillation': False, 'equilibrium_type': '不稳定结点'}
2025-03-25 13:32:13 | INFO | 已保存图像到: /Users/mx/Desktop/CuriosityLongtermism/romantic-dynamics-model/output/images/dynamics_0.png
2025-03-25 13:32:13 | INFO | 初始化系统: 热切的海狸 vs 自恋的傻瓜
2025-03-25 13:32:13 | SUCCESS | 微分方程求解成功
2025-03-25 13:32:13 | INFO | 参数组合 2: 热切的海狸 vs 自恋的傻瓜 的稳定性分析结果: {'eigenvalues': array([0.4+0.37416574j, 0.4-0.37416574j]), 'is_stable': False, 'has_oscillation': True, 'equilibrium_type': '不稳定排斥焦点'}
2025-03-25 13:32:13 | INFO | 已保存图像到: /Users/mx/Desktop/CuriosityLongtermism/romantic-dynamics-model/output/images/dynamics_1.png
2025-03-25 13:32:13 | INFO | 初始化系统: 热切的海狸 vs 谨慎的爱人
2025-03-25 13:32:13 | SUCCESS | 微分方程求解成功
2025-03-25 13:32:13 | INFO | 参数组合 3: 热切的海狸 vs 谨慎的爱人 的稳定性分析结果: {'eigenvalues': array([ 0.5244998, -0.7244998]), 'is_stable': False, 'has_oscillation': False, 'equilibrium_type': '鞍点'}
2025-03-25 13:32:13 | INFO | 已保存图像到: /Users/mx/Desktop/CuriosityLongtermism/romantic-dynamics-model/output/images/dynamics_2.png
2025-03-25 13:32:13 | INFO | 初始化系统: 热切的海狸 vs 隐士
2025-03-25 13:32:13 | SUCCESS | 微分方程求解成功
2025-03-25 13:32:13 | INFO | 参数组合 4: 热切的海狸 vs 隐士 的稳定性分析结果: {'eigenvalues': array([0.2+0.34641016j, 0.2-0.34641016j]), 'is_stable': False, 'has_oscillation': True, 'equilibrium_type': '不稳定排斥焦点'}
2025-03-25 13:32:14 | INFO | 已保存图像到: /Users/mx/Desktop/CuriosityLongtermism/romantic-dynamics-model/output/images/dynamics_3.png
2025-03-25 13:32:14 | INFO | 初始化系统: 自恋的傻瓜 vs 热切的海狸
2025-03-25 13:32:14 | SUCCESS | 微分方程求解成功
